City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
259,denpasar,ID,84.2,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
260,ahipara,NZ,62.11,-35.17,173.17,Ahipara Holiday Park
261,thinadhoo,MV,83.75,0.53,72.93,
262,mao,ES,68.0,39.89,4.27,ARTIEM Capri
263,halifax,CA,55.99,44.65,-63.57,Hotel Halifax
264,magadan,RU,61.34,59.57,150.8,Magadan hotel
265,ixtapa,MX,84.2,20.7,-105.2,Container Inn Puerto Vallarta
266,santa rosa,PH,93.99,14.31,121.11,Amethyst Econotel
267,saint-georges,GD,84.2,12.06,-61.75,Radisson Grenada Beach Resort
268,guantanamo,CU,84.2,20.14,-75.21,Hotel Marti
269,ambon,ID,80.01,-3.7,128.18,Swiss-Belhotel Ambon
270,najran,SA,77.0,17.49,44.13,محمد هادي ال فطيح
271,aksu,CN,84.74,41.12,80.26,Pudong Holiday Hotel
272,jalu,LY,66.09,29.03,21.55,Jalu Hotel
273,buturlino,RU,55.65,55.57,44.9,Zolotaya Korona
274,bowen,AU,82.4,-20.02,148.23,Castle Motor Lodge Motel
275,bantou,CN,94.64,26.22,117.49,
276,adre,TD,75.58,13.47,22.2,
278,deputatskiy,RU,84.96,69.3,139.9,Baza Otdykha
279,aras,ES,60.8,42.56,-2.36,Jardines de Viana Spa
280,miranda,CO,71.6,3.25,-76.23,Parqueadero toño lasso
281,seybaplaya,MX,81.07,19.65,-90.67,sala de fiesta san Rafael
282,cobija,BO,74.07,-11.03,-68.77,Hotel Obelisco
283,ginda,IN,79.39,30.69,78.49,Bherav Hotel Manpur
285,faya,SA,69.8,18.39,42.45,مقبرة ال مجمل
286,shubarshi,KZ,74.82,48.59,57.19,
287,angoche,MZ,73.11,-16.23,39.91,Guest House HESADA
288,port lincoln,AU,58.05,-34.73,135.87,Port Lincoln Hotel
289,san rafael,AR,43.41,-34.62,-68.33,Hotel San Rafael
290,onokhoy,RU,77.0,51.93,108.07,
291,clermont,FR,51.01,49.5,2.42,"gîte"" Le Manoir Enchanté"" de Mme Doumayrou"
292,blagoyevo,RU,51.96,63.37,47.92,
293,balabac,PH,87.84,7.99,117.06,Sing and Swing Lodge
295,mahebourg,MU,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
296,vardo,NO,46.4,70.37,31.11,Vardø Hotel AS
297,kaka,TM,90.21,37.35,59.61,
298,sao joao da barra,BR,70.86,-21.64,-41.05,Pousada Porto De Canoas
299,burns lake,CA,55.69,54.23,-125.75,Burns Lake Bed and Breakfast
300,coahuayana,MX,80.42,18.73,-103.68,Hotel Los Arcos
301,merauke,ID,81.95,-8.47,140.33,
303,maine-soroa,NE,82.38,13.21,12.02,
304,conceicao da barra,BR,66.81,-18.59,-39.73,Cricaré Praia Hotel
305,donskoye,RU,66.2,45.46,41.97,
306,fortuna,US,57.0,40.6,-124.16,Super 8 by Wyndham Fortuna
307,harper,LR,76.14,4.38,-7.72,Cape View Guest House
308,lorengau,PG,86.41,-2.02,147.27,Lorengau Harbourside Hotel
310,lasa,IT,51.8,46.62,10.7,Pension Feldgärtenhof
311,rudbar,AF,102.63,30.15,62.6,
312,bilma,NE,83.88,18.69,12.92,Expeditions Ténére voyages
313,megion,RU,46.4,61.03,76.11,Komfort Hotel
314,anadyr,RU,75.2,64.75,177.48,"Гостиница ""Анадырь"""
315,tocopilla,CL,59.58,-22.09,-70.2,Hotel Galvarino
317,marystown,CA,46.42,47.17,-55.15,Marystown Hotel & Convention Centre
318,porto murtinho,BR,74.16,-21.7,-57.88,Hotel Pantanal
319,north bend,US,62.01,43.41,-124.22,Red Lion Hotel Coos Bay
320,pacific grove,US,60.8,36.62,-121.92,Lovers Point Inn
321,noumea,NC,78.8,-22.28,166.46,Hôtel Le Lagon
322,turbana,CO,79.25,10.27,-75.44,Cartagena Hills
323,itarema,BR,76.28,-2.92,-39.92,Windvillage
324,furano,JP,55.4,43.28,142.47,星人の宿・ペンション和田
325,nelson bay,AU,60.01,-32.72,152.15,Mantra Nelson Bay
326,kaeo,NZ,62.01,-35.1,173.78,Bushido Lodge
327,scarborough,GB,57.0,54.28,-0.4,Ambassador
328,howard springs,AU,86.0,-12.5,131.05,buffalo beach hostel
329,mananara,MG,70.47,-16.17,49.77,androkaroka.les 3 arcs
330,pangai,TO,80.6,-19.8,-174.35,Ha'apai Beach Resort
331,mabaruma,GY,76.15,8.2,-59.78,
332,segovia,ES,59.0,41.17,-4.0,Complejo de turismo Rural A Toca
333,krasnoarmeysk,RU,61.0,51.02,45.7,Gostinitsa Komfort
334,sicamous,CA,68.0,50.83,-118.99,Best Western Sicamous Inn
335,tutoia,BR,75.33,-2.76,-42.27,Pousada Guará's
337,fare,PF,77.61,-16.7,-151.02,Maitai Lapita Village Huahine
338,southampton,GB,48.0,50.9,-1.4,Leonardo Royal Southampton Grand Harbour
340,fayaoue,NC,72.75,-20.65,166.53,Chez Dydyce Guesthouse
341,santa marta,CO,79.0,11.24,-74.2,Hotel La Ballena Azul
342,shahabad,IN,95.5,27.65,79.95,डाक बंगला
344,lavrentiya,RU,56.34,65.58,-171.0,
345,waddan,LY,66.9,29.16,16.14,محل الشريف محمد العايب
346,touros,BR,73.4,-5.2,-35.46,INN NEW HORIZON
347,sao felix do xingu,BR,69.13,-6.64,-51.99,Apart Hotel Rio Xingu
348,angoram,PG,88.12,-4.06,144.07,
349,melilla,ES,69.8,35.29,-2.94,Hôtel Anfora
350,xuzhou,CN,79.61,34.18,117.16,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
351,longido,TZ,59.13,-2.73,36.68,Longido Mountain Lodge
352,christchurch,NZ,48.99,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
353,yaguajay,CU,79.21,22.33,-79.24,Hostal Idalmis y José Luis
354,ust-uda,RU,80.24,54.17,103.03,Gostinitsa Ust'-Uda Shans
355,dicabisagan,PH,89.85,17.08,122.42,
356,eisenerz,AT,66.2,47.53,14.88,JUFA Hotel Eisenerz – Almerlebnis
357,plettenberg bay,ZA,57.6,-34.05,23.37,Thanda Vista B&B
358,juneau,US,53.01,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
359,campbellford,CA,69.01,44.31,-77.8,Campbellford River Inn
360,svetlogorsk,BY,63.95,52.63,29.73,Hotel Svetlogorsk JBIK
362,sistranda,NO,60.8,63.73,8.83,Hotell Frøya
363,te anau,NZ,46.87,-45.42,167.72,Kingsgate Hotel Te Anau
